id,name,type,formart,description
730,data_entrega_proposta_max,Data,,Data máxima de entrega de proposta.
731,data_entrega_proposta_min,Data,,Data mínima de entrega de proposta.
732,data_publicacao,Texto,,Data da publicação da licitação.
733,data_publicacao_max,Data,,Data máxima da publicação da licitação.
734,data_publicacao_min,Data,,Data mínima da publicação da licitação.
735,endereco_entrega_edital,Texto,,Endereço de entrega do edital.
736,forma_de_realizacao,Texto,,Indica se é presencial ou eletrônico (Pregão ou RDC)
737,funcao_responsavel,Texto,,Função do responsável pela licitação.
738,id_fornecedor,Inteiro,,Id do Fornecedor Vencedor.
739,item_material,Texto,,Código do item de material incluído na licitação
740,item_material_classificacao,Texto,,Código da classificação do item de material incluído na licitação.
741,item_servico,Texto,,Código do item de serviço incluído na licitação
742,item_servico_classificacao,Texto,,Código da classificação do item de serviço inlcuído na licitação.
743,modalidade,Inteiro,,Código da modalidade da licitação.
744,nome_responsavel,Texto,,Nome do responsável pela licitação.
745,numero_aviso,Inteiro,,Número da licitação.
746,objeto,Texto,,Objeto da licitação.
747,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
748,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
749,order_by,Texto,,Atributo que deve ser usado como ordenador
750,orgao,Inteiro,,Órgão ao qual pertence a UASG da licitação.
751,situacao_aviso,Texto,,Situação do aviso.
752,sustentavel,Booleano,,Definição de sustentabilidade dos itens da licitação.
753,tipo_item,Texto,,Tipo do item da licitação (material ou serviço)
754,uasg,Inteiro,,Código da UASG.
755,uasg_municipio,Inteiro,,Código do município da UASG
756,uf_uasg,Texto,,Unidade Federativa da UASG.
757,valor_estimado_total_max,BigDecimal,,Valor máximo da soma dos valores estimados dos itens da licitação
758,valor_estimado_total_min,BigDecimal,,Valor mínimo da soma dos valores estimados dos itens da licitação
759,valor_homologado_total_max,BigDecimal,,Valor máximo da soma dos valores homologados dos itens da licitação
760,valor_homologado_total_min,BigDecimal,,Valor mínimo da soma dos valores homologados dos itens da licitação
761,id,Texto,,Identificador da IRP.
762,id,Texto,,Identificador do Item de IRP.
763,item,Inteiro,,Descrição do Item de IRP.
764,id,Texto,,Identificador do IRP.
765,item,Inteiro,,Código do Item de IRP.
766,participante,Inteiro,,Código do Participante
767,id,Texto,,Identificador único da licitação.
768,id,Texto,,Identificador da licitação.
769,item,Inteiro,,Código do item da licitação.
770,id,Inteiro,,Código da modalidade de licitação.
771,id,Inteiro,,Código do órgão.
772,id,Texto,,Identificador do preço praticado.
773,id,Texto,,Identificador do preço praticado.
774,item,Inteiro,,Código do item.
775,id,Texto,,Identificador do registro de preço.
776,id,Texto,,Identificador do registro de preço.
777,item,Inteiro,,Código do item.
778,classificacao_fornecedor,Inteiro,,Classificacao do Fornecedor na Licitação por Registro de Preço.
779,id,Texto,,Identificador do Registro de Preço.
780,item,Inteiro,,Número do Item de Registro de Preço.
781,classificacao_fornecedor,Inteiro,,Classificação do Fornecedor na Licitação por Registro de Preço.
782,id,Texto,,Identificador do Registro de Preço.
786,id,Texto,,Identificador único do RDC.
787,co_uasg,Inteiro,,Número da UASG que registrou o aviso de licitação.
788,ds_situacao_pregao,Texto,,Situação do pregão.
789,ds_tipo_compra,Texto,,Tipo de Compra.
790,ds_tipo_pregao,Texto,,Tipo de Pregão.
791,nu_pregao,Inteiro,,Número do pregão.
792,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
793,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
794,order_by,Texto,,Atributo utilizado para ordenação
795,tx_objeto,Texto,,Descrição do objeto da licitação.
796,co_uasg,Texto,,Número da UASG que registrou o aviso de licitação.
797,ds_situacao_pregao,Texto,,Situação do pregão.
798,ds_tipo_compra,Texto,,Tipo de Compra.
799,ds_tipo_pregao,Texto,,Tipo de Pregão.
800,nu_pregao,Texto,,Número do pregão.
801,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
802,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
803,order_by,Texto,,Atributo utilizado para ordenação
804,tx_objeto,Texto,,Descrição do objeto da licitação.
805,co_uasg,Texto,,Número da UASG que registrou o aviso de licitação.
806,ds_situacao_pregao,Texto,,Situação do pregão.
807,ds_tipo_compra,Texto,,Tipo de Compra.
808,ds_tipo_pregao,Texto,,Tipo de Pregão.
809,nu_pregao,Texto,,Número do pregão.
810,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
811,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
812,order_by,Texto,,Atributo utilizado para ordenação
813,tx_objeto,Texto,,Descrição do objeto da licitação.
814,co_uasg,Texto,,Número da UASG que registrou o aviso de licitação.
815,ds_situacao_pregao,Texto,,Situação do pregão.
816,ds_tipo_compra,Texto,,Tipo de Compra.
817,ds_tipo_pregao,Texto,,Tipo de Pregão.
818,nu_pregao,Texto,,Número do pregão.
819,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
820,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
821,order_by,Texto,,Atributo utilizado para ordenação
822,tx_objeto,Texto,,Descrição do objeto da licitação.
823,co_uasg,Texto,,Número da UASG que registrou o aviso de licitação.
824,ds_situacao_pregao,Texto,,Situação do pregão.
825,ds_tipo_compra,Texto,,Tipo de Compra.
826,ds_tipo_pregao,Texto,,Tipo de Pregão.
827,nu_pregao,Texto,,Número do pregão.
828,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
829,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
830,order_by,Texto,,Atributo utilizado para ordenação
831,tx_objeto,Texto,,Descrição do objeto da licitação.
832,id,Texto,,Identificador do pregão.
833,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
834,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
835,order_by,Texto,,Atributo utilizado para ordenação
836,id,Texto,,Id do Pregão
837,id,Texto,,Identificador do pregão.
838,item,Texto,,Código do item do pregão.
839,codigo_grupo,Inteiro,,Grupo ao qual a classe está associada
840,descricao,Texto,,Descrição da classe do material.
841,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
842,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
843,order_by,Texto,,Atributo utilizado para ordenação
844,descricao,Texto,,Descrição do grupo do material.
845,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
846,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
847,order_by,Texto,,Atributo utilizado para ordenação
848,codigo_classe,Inteiro,,Código da classe à qual está associado PDM.
849,descricao,Texto,,Descrição do padrão descritivo de material.
850,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
851,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
852,order_by,Texto,,Atributo utilizado para ordenação
853,classe,Inteiro,,Código da classe do material.
854,codigo_item,Inteiro,,Código do item de material.
855,descricao_item,Texto,,Descrição do item de material.
856,grupo,Inteiro,,Código do grupo do material.
857,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
858,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
859,order_by,Texto,,Atributo utilizado para ordenação
860,pdm,Texto,,Código do Padrão Descritivo de Material.
861,sustentavel,Booleano,,Indicador se o item é ou não sustentável.
862,id,Inteiro,,Código da classe do material.
863,id,Inteiro,,Código do grupo do material.
864,id,Texto,,Código do PDM.
865,id,Inteiro,,Código do material.
866,ano_plano,Inteiro,,Ano do Plano.
867,co_grau_prioridade,Inteiro,,Codigo do Grau de Prioridade
868,co_item,Inteiro,,Código do item.
869,co_orgao,Inteiro,,Código do Orgão.
870,co_orgao_superior,Inteiro,,Código do Orgão Superior.
871,co_tipo_item,Texto,,Código do tipo do item.
872,co_uasg,Inteiro,,Número da UASG.
873,ds_detalhada_item,Texto,,Descrição detalhada do Item.
874,ds_item,Texto,,Descrição do item.
875,ds_subitem,Texto,,Descrição do Subitem.
876,dt_estipulada_contratacao,Data,,Data estimada para contratação.
877,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
878,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente.
879,order_by,Texto,,Atributo utilizado para ordenação.
880,id,Texto,,Id do Item do PGC
881,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
882,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente.
883,order_by,Texto,,Atributo utilizado para ordenação.
884,descricao,Texto,,Descrição da seção.
885,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
886,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
887,order_by,Texto,,Atributo utilizado para ordenação
888,codigo_secao,Inteiro,,Código da Seção associada
889,descricao,Texto,,Descrição da divisão.
890,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
891,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
892,order_by,Texto,,Atributo utilizado para ordenação
893,codigo_divisao,Inteiro,,Código da divisão associada.
894,descricao,Texto,,Descrição do grupo.
895,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
896,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
897,order_by,Texto,,Atributo utilizado para ordenação
898,codigo_grupo,Inteiro,,Código do Grupo associado
899,descricao,Texto,,Descrição da Classe.
900,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
901,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
902,order_by,Texto,,Atributo utilizado para ordenação
903,codigo_classe,Inteiro,,Código da classe associada
904,descricao,Texto,,Descrição da subclasse.
905,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
906,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
907,order_by,Texto,,Atributo utilizado para ordenação
908,classe,Inteiro,,Código da classe.
909,cpc,Inteiro,,Classificação central de produto.
910,descricao,Texto,,Descrição do serviço.
911,divisao,Inteiro,,Código da divisão.
912,grupo,Inteiro,,Código do grupo.
913,offset,Inteiro,,"Quantidade de registros ignorados a partir do início da lista de resultados ordenando pelo ID. Útil para paginar consultas que retornam mais que 500 resultados. Ex.: offset=3000, retorna até 500 registros ignorando os 3000 primeiros."
914,order,Texto,,Atributo utilizado para indicar se ordenação é crescente ou decrescente
915,order_by,Texto,,Atributo utilizado para ordenação
916,secao,Inteiro,,Código da seção.
917,subclasse,Inteiro,,Código da subclasse.
918,id,Inteiro,,Código da seção.
919,id,Inteiro,,Código da divisão.
920,id,Inteiro,,Código do grupo.
921,id,Inteiro,,Código da Classe
922,id,Inteiro,,Código da subclasse.
923,id,Inteiro,,Código do Serviço
359,body,object,"{
  ""login"": ""<nome do usuário>"",
  ""senha"": ""<senha do usuário>""
}",Login e senha do usuário.
360,codigo_tipo_unidade,integer,,código do tipo de unidade
361,codigo_uf,integer,,Filtra pelo código do estado
362,codigo_municipio,integer,,Filtra pelo código do município
363,status,integer,"0 , 1",Filtra estabelecimentos que possuem status ativo (código 1) ou inativo (código 0)
364,estabelecimento_possui_centro_cirurgico,integer,"0 , 1",Filtra estabelecimentos que possuem (código 1) ou não (código 0) centro cirúrgico.
365,estabelecimento_possui_centro_obstetrico,integer,,Filtra estabelecimentos que possuem (código 1) ou não (código 0) centro obstétrico.
366,limit,integer,,Quantidade de itens retornados por página. Deve ser menor ou igual 20.
367,offset,integer,,Número da página de itens que deve ser retornada.
368,codigo_cnes,integer,,código do estabelecimento
369,cnpj_instituicao,integer,,Filtra parâmetros pelo CNPJ da instituição
370,uf,string,,Filtra parâmetros pelo estado da instituição
371,ano_referencia,integer,,Filtra pelo ano de refência de coletagem do parâmetro na instituição
372,mes_referencia,integer,,Filtra pelo mês de refência de coletagem do parâmetro na instituição
373,codigo_municipio,string,,Filtra pelo código do município
374,codigo_motivo_coleta,string,,Filtra pelo código de motivo da coleta
375,codigo_param_basico,integer,,Filtra pelo código de parâmetro básico
376,codigo_procedimento_coleta,integer,,Filtra pelo código do procedimento de coleta
377,codigo_tipo_filtracao,integer,,Filtra pelo código do tipo de filtracao
378,codigo_ponto_coleta,integer,,Filtra pelo código do ponto de coleta
379,codigo_tipo_forma_abastec,integer,,Filtra pelo código do tipo de forma de abastecimento
380,resultado_minimo,number,,Filtra valor mínimo do resultado
381,resultado_maximo,number,,Filtra valor máximo do resultado
382,valor_limite_deteccao_minimo,number,,Filtra valor mínimo do limite de detecção
383,valor_limite_deteccao_maximo,number,,Filtra valor máximo do limite de detecção
384,valor_limite_quantificacao_minimo,number,,Filtra valor mínimo do limite de quantificação
385,valor_limite_quantificacao_maximo,number,,Filtra valor máximo do limite de quantificação
386,semestre_referencia,integer,,Filtra pelo semestre de refência de coletagem do parâmetro na instituição
387,tipo_forma_abastecimento,string,,Filtra pelo tipo de forma de abastecimento
388,codigo_grupo_parametro,string,,Filtra pelo código do grupo de parâmetro
389,codigo_tipo_abastecimento,integer,,Filtra pelo código de tipo de abastecimento
390,codigo_tipo_ponto_coleta,integer,,Filtra pelo código de tipo de ponto de coleta
391,codigo_tipo_analise,integer,,Filtra pelo código de tipo de analise
392,codigo_tipo_categoria_analise,integer,,Filtra pelo código de tipo de categoria de análise
393,resultado_minimo,number,,Filtra valor mínimo do resultado
394,resultado_maximo,number,,Filtra valor máximo do resultado
395,parametro,string,,Filtra pelo parâmetro
396,valor_minimo,number,,Filtra valor mínimo
397,valor_maximo,Number,,Filtra valor máximo
398,codigo_tipo_monitoramento,integer,,Filtra pelo código de tipo de monitoramento
399,codigo_tipo_amostra_analisada,integer,,Filtra pelo código do tipo da amostra
400,codigo_solucao_abastecimento,integer,,Filtra pelo código de solucão de abastecimento
401,idade_minima,integer,,Filtra pela idade mínima.
402,idade_maxima,integer,,Filtra pela idade máxima.
403,codigo_fase_vida,Number,,"Filtra pelo código de fase da vida: 1 - Menor de 6 meses, 2 - Entre 6 meses a 2 anos, 3 - Entre 2 anos a 5 ano, 4 - Entre 5 anos a 7 anos, 5 - Entre 7 anos a 10 anos, 6 - Adolescente, 7 - Adulto, 8 - Idoso"
404,codigo_povo_comunidade,integer,,Filtra pelo código de povo da comunidade.
405,codigo_escolaridade,integer,,"Filtra pelo código de escolaridade: 1 - Creche, 3 - Classe alfabetizada, 4 - Ensino fundamental 1ª a 4ª séries, 5 - Ensino fundamental 5ª a 8ª séries, 6 - Ensino fundamental completo, 15 - Nenhum, 99 - Sem informação"
406,ano_mes_competencia,string,Ex.: 202301,Filtra pelo Ano/Mês da competência
407,gestante,integer,,Filtra acompanhamentos de gestantes (código 1) ou não gestantes (código 0).
408,uf_comite_etica_pesquisa,string,,Filtra projetos pelo estado do comitê de ética e pesquisa
409,codigo_situacao_parecee,integer,,"Filtra projetos pela situação do parecer: 1 - Aprovado, 2 - Aprovado com Recomendação, 3 - Devolvido com Recomendação, 4 - Não aprovado, 5 - Pendente, 6 - Retirado."
410,uf_instituicao_proponente,string,,Filtra projetos pelo estado da instituição proponente.
411,numero_caae,string,,número do certificado de apresentação de apreciação ética (apenas dígitos)
331,city,string,city=rio de janeiro,Localidade(s) a ser(em) buscada(s)
332,codigo_da_estacao,string,"4 letras, ex: SBBH",Localidade(s) a ser(em) buscada(s)
986,id,INTEGER,,O identificador numérico do evento do qual se deseja informações
987,id,INTEGER,,O identificador numérico da entidade.
333,codigo_da_localidade,"integer ","id da cidade, pode ser obtido pela consulta busca de localidades","O código do município ou localidade que são cobertos pelo CPTEC/INPE é representado por um número inteiro positivo, no qual recomendamos o uso do mecanismo de Busca de localidades para o levantamento desta informação.
"
334,latitude,float,(+/-)xx.xx,"válidos para a latitude (de 0° a 90° para norte [+] ou para sul [-], tendo como ponto de referência a linha do Equador) "
335,longitude,float,(+/-)xxx.xx,"longitude(de 0° a 180° para leste [+] ou para oeste [-], tendo como ponto de referência o meridiano de Greenwich)"
336,dia,"integer ",x,"O parâmetro dia também deve ser trocado, por um valor inteiro, que vai de 0 a 2; o valor do parâmetro ""0"" equivale ao dia atual, ""1"" para a previsão de ondas para amanhã e ""2"" para a previsão de depois de amanhã"
265,id,integer,,Retorna o registro correspondente ao parâmetro
266,serie_id,int,,Id da série
267,abrangência,int,,Abrangência da Série. Ex: 1 - País | 2 - Região | 3 - UF | 4 - Município
268,inicial*,date,Para periodicidade Anual YYYY | Para periodicidade YYYY-MM | Para as demais YYYY-MM-DD,Data inicial do período
269,final*,date,Para periodicidade Anual YYYY | Para periodicidade YYYY-MM | Para as demais YYYY-MM-DD,Data Final do Período
270,regioes,string,"A Sigla no caso de País | Região | UF. Ex: BRA | SE | RJ. O código do IBGE no caso de municípios Ex: 3304557 ",Região
271,tema_id,int,,Id de um tema
13,nr_cnpj_entidade,CHAR(14),00111222333344,Número do CNPJ do Ente Federativo
14,sg_uf,CHAR(2),MG,Sigla da Unidade Federativa do Ente Federativo
15,no_ente,VARCHAR(150) CHARACTER SET UNICODE,Itabira,Nome do Ente Federativo
16,dt_mes,"DECIMAL(2,0)",1,Mês da Competência do Demonstrativo
17,dt_ano,"DECIMAL(4,0)",2020,Ano da Competência do Demonstrativo
18,no_segmeto,VARCHAR(150) CHARACTER SET UNICODE,Renda Fixa,Segmento da Aplicação
19,tp_ativo,VARCHAR(150) CHARACTER SET UNICODE,"FI 100% títulos TN - Art. 7º, I, b",Tipo de Ativo
20,ds_identificacao_ativo,VARCHAR(150) CHARACTER SET UNICODE,11.328.882/0001-35 - BB PREVID. RENDA FIXA IRF-M 1 TP FUNDO DE INVESTIMENTO EM COTAS,Identificação do Ativo
272,SERCODIGO,string,,Código do metadados
273,TEMCODIGO,int,,Código ID dos temas
274,PAICODIGO,string,,Sigla que identifica um país
275,TERCODIGO,string,,Código
276,NIVNOME,string,,Nível de federação
963,id,array[integer],,"Número(s) identificador(es) de um ou mais bloco(s), separados por vírgulas."
964,idLegislatura,array[integer],,"Número(s) identificador(es) de uma ou mais legislatura(s), separados por vírgulas. Se presente, faz com que sejam retornados todos os blocos que existiram nessa(s) legislatura(s)."
965,pagina,INTEGER,,"Número da página de resultados, a partir de 1, que se deseja obter com a requisição, contendo o número de itens definido pelo parâmetro itens. Se omitido, assume o valor 1."
966,itens,INTEGER,,Número máximo de itens na página que se deseja obter com esta requisição.
967,ordem,string,,"O sentido da ordenação: asc para A a Z ou 0 a 9, e desc para Z a A ou 9 a 0."
968,ordenarPor,string,,"Nome do campo pelo qual a lista será ordenada: idLegislatura, id ou nome."
969,id,INTEGER,,Número identificador do bloco de partidos.
970,nome,string,,Parte nome parlamentar.
971,siglaUf,array[string],,"Uma ou mais sigla(s) de unidades federativas (estados e Distrito Federal). Uma lista de siglas válidas pode ser obtida em /referencias/deputados/siglaUf. Se ausente, serão retornados deputados de todos os estados."
972,siglaPartido,array[string],,"Uma ou mais sigla(s) de partidos aos quais sejam filiados os deputados. Para obter as siglas válidas, consulte /partidos. Atenção: partidos diferentes podem usar a mesma sigla em diferentes legislaturas!"
973,siglaSexo,string,,"Letra que designe o gênero dos parlamentares que se deseja buscar, sendo M para masculino e F para feminino"
974,dataInicio,string,AAAA-MM-DD,"Data de início de um intervalo de tempo, no formato AAAA-MM-DD."
975,dataFim,string,AAAA-MM-DD,"Data de término de um intervalo de tempo, no formato AAAA-MM-DD."
976,"id ",INTEGER,,Identificador numérico do parlamentar.
977,ano,array[integer],,Um ou mais ano(s) de ocorrência das despesas.
978,mes,array[integer],,Um ou mais número(s) do(s) mês(es) de ocorrência das despesas.
979,cnpjCpfFornecedor,string,,"CNPJ de uma pessoa jurídica, ou CPF de uma pessoa física, fornecedora do produto ou serviço (apenas números)"
980,codTipoEvento,array[integer],,Um ou mais identificador(es) numérico(s) do(s) tipo(s) de evento que se deseja obter. Os valores válidos podem ser obtidos por uma requisição a /referencias/tiposEvento.
981,codSituacao,array[integer],,"Um ou mais identificador(es) numéricos de tipo(s) de situação de evento, separados por vírgula. Valores válidos podem ser obtidos em /referencias/situacoesEvento"
982,codTipoOrgao,array[integer],,"Um ou mais identificador(es) numérico(s) de tipo(s) de órgão(s) realizadores dos eventos que se deseja obter, separados por vírgula. Os valores válidos podem ser obtidos em /referencias/tiposOrgao."
983,idOrgao,array[integer],,"Um ou mais identificador(es) numérico(s) de órgão(s), separados por vírgula. Os identificadores podem ser obtidos em uma requisição a /orgaos."
984,horaInicio,string,hh:mm,"Hora inicial de um intervalo de tempo, no formato hh:mm, em horário de Brasília."
985,horaFim,string,hh:mm,"Hora final de um intervalo de tempo, no formato hh:mm, em horário de Brasília."
988,id,INTEGER,,Número identificador do Grupo.
989,id,INTEGER,,Identificador numérico de Grupo histórico.
990,id,INTEGER,,Número(s) identificador(es) de um Membro.
991,data,string,AAAA-MM-DD,"Uma ou mais data(s) no formato AAAA-MM-DD, separadas por vírgulas. Se este parâmetro estiver presente, a requisição retornará as informações básicas sobre as legislaturas que estavam em curso nas datas informadas."
992,id,INTEGER,,Número da legislatura da qual se quer os dados.
993,sigla,array[string],,"Sigla de um ou mais partido(s), separadas por vírgulas."
994,id,INTEGER,,Id do Partido
995,siglaTipo,array[string],,Uma ou mais sigla(s) separadas por vírgulas do(s) tipo(s) das proposições que se deseja obter. A lista de tipos e siglas existentes pode ser obtida em /referencias/proposicoes/siglaTipo
996,numero,array[integer],,"Um ou mais número(s), separados por vírgula, oficialmente atribuídos às proposições segundo o art. 137 do Regimento Interno, como ""PL 1234/2016"""
997,idDeputadoAutor,array[integer],,"Um ou mais números identificador(es), separados por vírgula, do(s) deputado(s) autor(es) das proposições que serão listadas. Cada número deve ser o identificador exclusivo de um parlamentar no Dados Abertos"
998,autor,string,,Nome ou parte do nome do(s) autor(es) das proposições que se deseja obter. Deve estar entre aspas
999,siglaPartidoAutor,array[string],,Uma ou mais sigla(s) separadas por vírgulas do(s) partido(s) a que pertençam os autores das proposições a serem listadas
1000,idPartidoAutor,INTEGER,,"Identificador numérico no Dados Abertos do partido a que pertençam os autores das proposições que serão listadas. Esses identificadores podem ser obtidos em /partidos e são mais precisos do que as siglas, que podem ser usadas por partidos diferentes em épocas diferentes"
1001,siglaUfAutor,array[string],,Uma ou mais sigla(s) de unidade(s) da federação (estados e Distrito Federal) pela(s) qual(quais) o(s) autor(es) das proposições selecionadas tenha(m) sido eleito(s)
1002,keywords,array[string],,Uma ou mais palavras chaves sobre o tema a que a proposição se relaciona
1003,tramitacaoSenado,boolean,,"Indicador booleano, com valor TRUE ou FALSE para trazer apenas proposições que já tenha tramitado no Senado"
1004,dataApresentacaoInicio,string,AAAA-MM-DD,"Data do início do intervalo de tempo em que tenham sido apresentadas as proposições a serem listadas, no formato AAAA-MM-DD"
1005,dataApresentacaoFim,string,AAAA-MM-DD,Data do fim do intervalo de tempo em que tenham sido apresentadas as proposições a serem listadas
1006,codTema,array[integer],,"Código(s) numérico(s), separados por vírgulas, das áreas temáticas das proposições que serão listadas. Os temas possíveis podem ser obtidos em /referencias/proposicoes/codTema"
1007,id,INTEGER,,Identificador numérico da proposição
1008,id,INTEGER,,Identificador alfanumérico da entidade
1009,idProposicao,array[integer],,"Um ou mais identificador(es) numéricos de proposições, que podem ser obtidos por meio do recurso /proposicoes. Se presente, listará as votações que tiveram a(s) proposição(ções) como objeto de votação ou que afetaram as proposições listadas."
1010,idEvento,array[integer],,"Identificador de um ou mais evento(s) realizado(s) na Câmara, separados por vírgula, nos quais tenham sido realizadas as votações a serem listadas. Os identificadores podem ser obtidos por meio do recurso /eventos. Somente os eventos deliberativos podem ter votações. Os eventos podem ter ocorrido fo"
1011,id,string,,Identificador alfanumérico da votação
1012,id,INTEGER,,Identificador numérico do órgão
1013,idTipoEvento,array[integer],,Um ou mais identificador(es) numérico(s) de tipos de evento que se deseja obter. os valores válidos podem ser obtidos por uma requisição anterior a /referencias/tiposEvento.
1014,id,string,,Número da legislatura da qual se deseja os dados.
1015,id,string,,ID do partido do qual se deseja os dados.
412,sigla_estado,string,,"Informar a sigla do estado na url, no lugar do *, letras minusculas"
924,dataInicial,string,,Data Inicial
925,dataFinal,string,,Data Final
926,cnpjOrgao,string,,
927,codigoUnidadeAdministrativa,string,,
928,usuarioId,INTEGER,,
929,pagina,INTEGER,,
930,tamanhoPagina,INTEGER,,
931,codigoModalidadeContratacao,INTEGER,,
932,codigoModoDisputa,INTEGER,,
933,uf,string,,
934,codigoMunicipioIbge,string,,
935,cnpj,string,,
936,idUsuario,INTEGER,,
937,anoPca,INTEGER,,
938,codigoClassificacaoSuperior,STRING,,
1176,id,String,,ID
1177,request body,json,,request body
1178,nomeConjuntoDados,string,,nomeConjuntoDados
1179,isPrivado,string,false/true,Default value : false
1180,idOrganizacao,string,,idOrganizacao
1181,pagina,integer($int32),,numero pagina
1182,filtro,object,,filtro
1183,nome,string,,nome
21,nr_apr,VARCHAR(8) CHARACTER SET UNICODE,A2008038,Número da APR
22,no_fundo_constituido,VARCHAR(150) CHARACTER SET UNICODE,FUNDO SOLIDÁRIO GARANTIDOR,Plano/Fundo Constituido
23,tp_operacao,VARCHAR(150) CHARACTER SET UNICODE,Nova Aplicação em Ativo Mantido na Carteira,Tipo da Operação
24,dt_operacao,TIMESTAMP(6),2020-08-20,Data da Operação
